Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
CRIMINAL ATTEMPT- TBUT OR DISP AUTO- UNDER $500,470 COOPER DR  ,Lexington,Kentucky,United States of America,Theft,8/3/2015 16:47,8,Closed,470 COOPER DR,20151721,CRIMINAL ATTEMPT- TBUT OR DISP AUTO- UNDER $500,Theft,Closed,470 COOPER DR
TBUT OR DISP BICYCLES U/$500/m,508 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,8/3/2015 17:00,8,Closed,508 ADMINISTRATION DR,20151722,TBUT OR DISP BICYCLES U/$500/m,Theft,Closed,508 ADMINISTRATION DR
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/3/2015 17:00,8,Closed,1000 SOUTH LIMESTONE ST,20151727,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OF DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,8/3/2015 23:00,8,Open,440 HILLTOP AVE,20151724,"TBUT OF DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,440 HILLTOP AVE
"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,8/4/2015 20:30,8,Closed,110 TRANSCRIPT AVE,20151731,"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",Theft,Closed,110 TRANSCRIPT AVE
"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/6/2015 1:30,8,Closed,1000 SOUTH LIMESTONE ST,20151755,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,343 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,8/6/2015 11:45,8,Closed,343 SOUTH MARTIN LUTHER KING BLVD,20151738,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,343 SOUTH MARTIN LUTHER KING BLVD
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,741 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/7/2015 12:00,8,Closed,741 SOUTH LIMESTONE ST,20151849,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,741 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/7/2015 20:00,8,Closed,800 ROSE ST,20151765,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,8/8/2015 4:00,8,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015133652,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
TBUT OR DISP BICYCLES U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,8/8/2015 16:00,8,Closed,430 COMPLEX DR,20151752,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,430 COMPLEX DR
"TBUT OR DISP ALL OTHERS $10,000 OR MORE BUT U/$1,000,000/F",2317 ALUMNI PARK PLZ  ,Lexington,Kentucky,United States of America,Theft,8/8/2015 23:00,8,Closed Lexington Police Report,2317 ALUMNI PARK PLZ,2015134531,"TBUT OR DISP ALL OTHERS $10,000 OR MORE BUT U/$1,000,000/F",Theft,Closed Lexington Police Report,2317 ALUMNI PARK PLZ
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/9/2015 4:00,8,Closed CSA,800 ROSE ST,CSA20150719,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed CSA,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/9/2015 13:00,8,Closed,800 ROSE ST,20151760,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,744 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/11/2015 19:00,8,Open,744 ROSE ST,20151780,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,744 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/12/2015 4:30,8,Open,800 ROSE ST,20151778,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,300 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,8/12/2015 12:00,8,Closed,300 ALUMNI DR,20151799,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,300 ALUMNI DR
TBUT OR DISP FROM BUILDING U/$500,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/14/2015 22:00,8,Closed,800 ROSE ST,20152128,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/15/2015 15:30,8,Closed,740 SOUTH LIMESTONE ST,20152606,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,740 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,751 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/15/2015 17:30,8,Closed,751 ROSE ST,20151806,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,751 ROSE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",845 RED MILE RD  ,Lexington,Kentucky,United States of America,Theft,8/16/2015 4:01,8,Closed Lexington Police Report,845 RED MILE RD,2015139803,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,845 RED MILE RD
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,625 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/16/2015 23:00,8,Closed,625 SOUTH LIMESTONE ST,20151830,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,625 SOUTH LIMESTONE ST
TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,140 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,8/17/2015 18:59,8,Closed,140 HUGUELET DR,20151823,TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,Theft,Closed,140 HUGUELET DR
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",721 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/19/2015 11:30,8,Closed,721 SPORTS CENTER DR,20151839,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,721 SPORTS CENTER DR
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/19/2015 21:00,8,Closed,800 ROSE ST,20151838,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,830 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/20/2015 16:00,8,Closed,830 SOUTH LIMESTONE ST,20151842,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,830 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",558 EAST HIGH ST  ,Lexington,Kentucky,United States of America,Theft,8/20/2015 18:40,8,Open,558 EAST HIGH ST,20151858,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,558 EAST HIGH ST
TBUT OR DISP ALL OTHERS U/$500/M,412 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/20/2015 22:00,8,Open,412 ROSE ST,20151856,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,412 ROSE ST
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 4:01,8,Open,1540 UNIVERSITY DR,20152255,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Open,1540 UNIVERSITY DR
"TBUT OR DISP CONTENTS FROM AUTO U/$500/M, CRIMINAL MISCHIEF 3RD/M",721 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 7:00,8,Open,721 SPORTS CENTER DR,20151875,"TBUT OR DISP CONTENTS FROM AUTO U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Open,721 SPORTS CENTER DR
"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/,M X11",220 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 15:20,8,Open,220 AVENUE OF CHAMPIONS,20152860,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/,M X11",Theft,Open,220 AVENUE OF CHAMPIONS
"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 15:45,8,Open,550 SOUTH LIMESTONE ST,20151857,"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",Theft,Open,550 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 20:00,8,Closed,703 SPORTS CENTER DR,20152032,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,703 SPORTS CENTER DR
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,8/22/2015 4:15,8,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015143061,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
TBUT OR DISP ALL OTHERS U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,8/23/2015 1:00,8,Open,430 COMPLEX DR,20151999,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,430 COMPLEX DR
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,8/23/2015 13:00,8,Closed,110 TRANSCRIPT AVE,20151879,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,110 TRANSCRIPT AVE
"TBUT or DISP from Building $500 or more but U/$10,000",1398 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,8/24/2015 12:00,8,Open,1398 NICHOLASVILLE RD,20152064,"TBUT or DISP from Building $500 or more but U/$10,000",Theft,Open,1398 NICHOLASVILLE RD
TBUT OR DISP BICYCLES U/$500/M,PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,8/24/2015 16:15,8,Closed,PATTERSON DR,20151881,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,PATTERSON DR
TBUT OR DISP SHOPLIFTING U/$500/M,819 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/26/2015 3:08,8,Citation Issued,819 SOUTH LIMESTONE ST,20151892,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Citation Issued,819 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES $500 ORE MORE BUT U/$10,000/F",705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/26/2015 22:00,8,Closed,705 SPORTS CENTER DR,20151921,"TBUT OR DISP BICYCLES $500 ORE MORE BUT U/$10,000/F",Theft,Closed,705 SPORTS CENTER DR
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 0:00,8,Closed,430 COMPLEX DR,20151906,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
TBUT OR DISP ALL OTHERS U/$500/M,750 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 13:35,8,Open,750 WOODLAND AVE,20151910,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,750 WOODLAND AVE
TBUT OR DISP BICYCLE U/$500/M,1435 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 19:00,8,Closed,1435 NICHOLASVILLE RD,20152066,TBUT OR DISP BICYCLE U/$500/M,Theft,Closed,1435 NICHOLASVILLE RD
"TBUT OR DISP ALL OTHER $500 OR MORE BU U/$10,000/F",120 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 19:30,8,Closed,120 PATTERSON DR,20151911,"TBUT OR DISP ALL OTHER $500 OR MORE BU U/$10,000/F",Theft,Closed,120 PATTERSON DR
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,1435 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,8/29/2015 3:00,8,Closed,1435 NICHOLASVILLE RD,20151929,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,1435 NICHOLASVILLE RD
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,8/29/2015 4:00,8,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015147706,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",591 SOUTH UPPER ST  ,Lexington,Kentucky,United States of America,Theft,8/30/2015 19:18,8,Open,591 SOUTH UPPER ST,20151967,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,591 SOUTH UPPER ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,8/30/2015 20:05,8,Closed,401 HILLTOP AVE,20151931,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
THEFT OF MOTOR VEHICLE REGISTRATION PLATE/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,8/30/2015 21:00,8,Open,1540 UNIVERSITY DR,20152043,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/M,Theft,Open,1540 UNIVERSITY DR
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 11:00,8,Closed,1000 SOUTH LIMESTONE ST,20151943,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,763 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 16:00,8,Closed,763 WOODLAND AVE,20151965,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,763 WOODLAND AVE
TBUT OR DISP FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 19:00,8,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150827,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 19:10,8,Closed,310 SOUTH LIMESTONE ST,20151944,TBUT OR DISP FROM BUILDING U$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 20:00,8,Closed,550 SOUTH LIMESTONE ST,20151954,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,550 SOUTH LIMESTONE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/2/2015 6:01,9,Open,800 ROSE ST,20152575,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,800 ROSE ST
THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/2/2015 21:34,9,Open,800 ROSE ST,20152127,THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP BICYCLE U/$500/M,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,9/3/2015 4:00,9,Open,720 WOODLAND AVE,20152041,TBUT OR DISP BICYCLE U/$500/M,Theft,Open,720 WOODLAND AVE
TBUT OR DISP BICYCLES U/$500/M,326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,9/3/2015 16:00,9,Closed,326 SOUTH MARTIN LUTHER KING BLVD,20151992,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,326 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",800 Rose Street  ,Lexington,Kentucky,United States of America,Theft,9/3/2015 19:00,9,Closed,800 Rose Street,20152644,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,800 Rose Street
"TBUT OR DISP CONTENTS FROM VEHICLE $500 ORE MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/4/2015 4:30,9,Closed,1540 UNIVERSITY DR,20151973,"TBUT OR DISP CONTENTS FROM VEHICLE $500 ORE MORE BUT U/$10,000/F",Theft,Closed,1540 UNIVERSITY DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/4/2015 14:26,9,Closed,310 SOUTH LIMESTONE ST,20151974,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/4/2015 16:00,9,Closed,440 HILLTOP AVE,20151985,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Closed,440 HILLTOP AVE
TBUT OR DISP ALL OTHERS U/$500/M,125 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,9/4/2015 19:00,9,Closed,125 AVENUE OF CHAMPIONS,20152033,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,125 AVENUE OF CHAMPIONS
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,9/5/2015 6:00,9,Open,326 SOUTH MARTIN LUTHER KING BLVD,20151984,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,326 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP FIREARM/F, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",333 WALLER AVE  ,Lexington,Kentucky,United States of America,Theft,9/5/2015 18:00,9,Closed Lexington Police Report,333 WALLER AVE,2015153374,"TBUT OR DISP FIREARM/F, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,333 WALLER AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,9/5/2015 18:30,9,Open,650 WOODLAND AVE,20151997,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,650 WOODLAND AVE
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,9/5/2015 23:00,9,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20152015,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,9/6/2015 15:38,9,Cleared By Arrest,344 SOUTH MARTIN LUTHER KING BLVD,20152000,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Cleared By Arrest,344 SOUTH MARTIN LUTHER KING BLVD
TBUT OR DISP BICYCLES U/$500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/6/2015 20:00,9,Open,401 HILLTOP AVE,20152038,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,401 HILLTOP AVE
TBUT OR DISP BICYCLES U/$500/M,703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,9/7/2015 1:00,9,Closed,703 SPORTS CENTER DR,20152028,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,703 SPORTS CENTER DR
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/7/2015 10:30,9,Open,800 ROSE ST,20152019,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,800 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/7/2015 11:00,9,Closed,1000 SOUTH LIMESTONE ST,20152012,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE,740 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,9/7/2015 20:30,9,Closed,740 WOODLAND AVE,20152103,THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE,Theft,Closed,740 WOODLAND AVE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",476 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/8/2015 11:30,9,Closed,476 ROSE ST,20152026,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Closed,476 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,505 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/9/2015 13:00,9,Open,505 ROSE ST,20152040,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,505 ROSE ST
THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE/M,220 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,9/9/2015 19:00,9,Closed,220 AVENUE OF CHAMPIONS,20152099,THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE/M,Theft,Closed,220 AVENUE OF CHAMPIONS
"TBUT or DISP from Building $500 or more but U/$10,000",440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/9/2015 19:30,9,Open,440 HILLTOP AVE,20152047,"TBUT or DISP from Building $500 or more but U/$10,000",Theft,Open,440 HILLTOP AVE
"TBUT OR DISP ALL OTHERS U/$500/M, TBUT OR DISP BICYCLES U/$500/M, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, TAMPERING WITH PHYSICAL EVIDENCE/F, DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,9/10/2015 1:45,9,Cleared By Arrest,326 SOUTH MARTIN LUTHER KING BLVD,20152049,"TBUT OR DISP ALL OTHERS U/$500/M, TBUT OR DISP BICYCLES U/$500/M, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, TAMPERING WITH PHYSICAL EVIDENCE/F, DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",Theft,Cleared By Arrest,326 SOUTH MARTIN LUTHER KING BLVD
THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/10/2015 10:55,9,Open,301 HILLTOP AVE,20152051,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,Theft,Open,301 HILLTOP AVE
TBUT OR DISP ALL OTHERS U/$500/M,140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,9/10/2015 15:45,9,Open,140 PATTERSON DR,20152050,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,140 PATTERSON DR
TBUT OR DISP FROM BUILDING U/$500,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/10/2015 18:35,9,Closed,800 ROSE ST,20152053,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,800 ROSE ST
TBUT OR DISP BICYCLE U/$500/M,693 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,9/10/2015 22:40,9,Open,693 SPORTS CENTER DR,20152068,TBUT OR DISP BICYCLE U/$500/M,Theft,Open,693 SPORTS CENTER DR
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/11/2015 4:00,9,Cleared By Arrest,440 HILLTOP AVE,20152061,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Cleared By Arrest,440 HILLTOP AVE
TBUT OR DISP BICYCLE U/$500/M,325 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,9/11/2015 4:00,9,Open,325 HUGUELET DR,20152070,TBUT OR DISP BICYCLE U/$500/M,Theft,Open,325 HUGUELET DR
TBUT OR DISP SHOPLIFTING U/$500,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/11/2015 18:15,9,Closed,1000 SOUTH LIMESTONE ST,20152071,TBUT OR DISP SHOPLIFTING U/$500,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,9/11/2015 23:00,9,Open,703 SPORTS CENTER DR,20152113,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Open,703 SPORTS CENTER DR
