Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20132957,10/26/2013 - 1:37pm,10/26/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20132935,10/24/2013 - 1:12pm,10/25/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013170151,10/23/2013 - 11:00pm,10/25/2013,United States,Kentucky,Lexington,845 RED MILE RD,"CRIMINAL MISCHIEF 3RD/M, TBUT DISP FROM AUTO/M",No,Closed - Lexington Police Report
Theft,20132946,10/25/2013 - 1:00pm,10/25/2013,United States,Kentucky,Lexington,120 PATTERSON DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20132936,10/24/2013 - 3:40pm,10/24/2013,United States,Kentucky,Lexington,180 AVENUE OF CHAMPIONS,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20132924,10/22/2013 - 11:30pm,10/23/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013168825,10/20/2013 - 3:00pm,10/23/2013,United States,Kentucky,Lexington,845 RED MILE RD,TBUT OR DISP CONTENTS FROM VEHICLE U/$500/M,No,Closed - Lexington Police Report
Theft,20132930,10/23/2013 - 8:00am,10/23/2013,United States,Kentucky,Lexington,171 FUNKHOUSER DR,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CREDIT CARD $500 < $10,000/F",No,Open
Theft,2013164427,10/13/2013 - 5:00pm,10/22/2013,United States,Kentucky,Lexington,236 BOLIVAR ST,TBUT/DISP FROM AUTO/F,No,Closed - Lexington Police Report
Theft,20132917,10/20/2013 - 11:55pm,10/22/2013,United States,Kentucky,Lexington,593 SOUTH LIMESTONE ST,"TBUT OR DISP ALL OTHERS $10,000 OR MORE BUT U/$1,000,000/F",No,Open
Theft,20132922,10/12/2013 - 8:00am,10/22/2013,United States,Kentucky,Lexington,CAMPUS DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20132921,10/22/2013 - 1:00pm,10/22/2013,United States,Kentucky,Lexington,505 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132923,10/18/2013 - 2:00pm,10/22/2013,United States,Kentucky,Lexington,740 SOUTH LIMESTONE ST,TBUT FROM BUILDING U/$500/M,No,Closed
Theft,20132916,10/18/2013 - 12:30pm,10/21/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20132913,10/21/2013 - 11:00am,10/21/2013,United States,Kentucky,Lexington,740 ROSE ST,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",No,Closed
Theft,20132895,10/17/2013 - 1:30pm,10/18/2013,United States,Kentucky,Lexington,343 SOUTH MLK BLVD,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Yes,Closed
Theft,20132897,10/16/2013 - 12:00pm,10/18/2013,United States,Kentucky,Lexington,695 WINNIE ST,TBUT OR DISP BICYCLES U/$500/M,No,Closed
Theft,20132875,10/16/2013 - 5:30am,10/17/2013,United States,Kentucky,Lexington,SCOTT ST,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20132876,10/12/2013 - 7:00pm,10/17/2013,United States,Kentucky,Lexington,300 ALUMNI DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20132878,10/03/2013 - 12:00pm,10/17/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132881,10/17/2013 - 4:30pm,10/17/2013,United States,Kentucky,Lexington,800 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20132882,10/15/2013 - 12:00pm,10/17/2013,United States,Kentucky,Lexington,740 WOODLAND AVE,TBUT OR DISP BICYCLES U/$500/M,No,Closed
Theft,20132883,10/17/2013 - 7:30pm,10/17/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20132864,09/28/2013 - 7:00am,10/16/2013,United States,Kentucky,Lexington,720 SPORTS CENTER DR,TBUT OR DISP ALL OTHERS/M,No,Open
Theft,20132873,10/15/2013 - 7:00am,10/16/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Open
Theft,20132874,10/16/2013 - 11:00pm,10/16/2013,United States,Kentucky,Lexington,1100 SOUTH LIMESTONE ST,"TBUT OR DISP FIREARM/M, TBUT OR DISP ALL OTHERS U/$500/M",No,Open
Theft,20132865,10/09/2013 - 8:00am,10/16/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013163816,10/12/2013 - 12:00pm,10/15/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT DISP FIREARM/F,No,Closed - Lexington Police Report
Theft,20132859,10/15/2013 - 12:30pm,10/15/2013,United States,Kentucky,Lexington,512 ADMINISTRATION DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132860,09/20/2013 - 12:00am,10/15/2013,United States,Kentucky,Lexington,4321 EMMERT FARM LN,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
Theft,2013163101,10/11/2013 - 12:00am,10/14/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,TBUT OR DISP ALL OTHER U/$500/M,No,Closed - Lexington Police Report
Theft,20132848,10/12/2013 - 6:30pm,10/14/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP ALL OTHER U/$500/M,No,Open
